activation,alpha,num_freq,hidden,val_data_mse,epochs_run,unseen_median,seen_median,wave,gauge,ic,bdry,phys_w,minutes,phase
silu,3.0,160,256x256x256,0.0403831830585535,35,1.069644384552472,0.47875709865181376,45.78644140744326,0.02083214720668893,7.56646380475977e-05,0.04874361604065419,0.0010153044499925067,12.06865561803182,1
silu,3.0,256,256x256x256,0.026021933684040603,35,1.0765584843063678,0.3691200405294751,17.909686382459427,0.00830482572591958,4.2986740476749414e-05,0.023282933301490737,0.00157793829186741,13.92291225194931,2
silu,3.0,96,256x256x256,0.10366621607126376,35,1.0870020839880425,0.6604072774324421,58.95539342235425,0.01976382308842028,4.7479092245195475e-05,0.04830991379523825,0.0014645805053750793,10.579512707392375,2
silu,3.0,160,128x128x128,0.09512255686287263,35,1.0883207890956137,0.6568445990187047,45.102170893342134,0.027760217288692546,9.07612385830242e-05,0.05743521281713451,0.001438658153740155,8.475938399632772,2
sin,3.0,160,256x256x256,0.0882791740595621,35,1.0974309766438664,0.5794973865600415,32.42488223493986,0.03706730340139246,0.0003292958137584613,0.04553573655300567,0.0020885829961013705,9.286055966218312,1
silu,3.0,160,256x256x256x256,0.06205978115162278,35,1.0978480403299895,0.5445967715348755,35.23142496233458,0.008242442825775638,7.006016797065475e-06,0.012124591180331818,0.005228630540610119,14.549751714865367,2
gelu,3.0,160,256x256x256,0.03813062264767827,35,1.1074076691996888,0.4663841839005927,14.958429456260914,0.0050582384296350095,8.397143498272629e-06,0.020189809360297597,0.003850841402574224,12.08813811937968,1
silu,1.0,160,256x256x256,0.015955815781826997,35,1.1560185457330578,0.30579036703815626,90.68742234845803,0.03649288345330848,0.00011630823014420212,0.08855333614910871,0.0002075106473356347,12.128872430324554,1
tanh,1.0,160,256x256x256,0.041971587847944414,35,1.161044654236767,0.41963710764183815,87.9007534135163,0.07218115773303163,0.0006088225626287649,0.079317036776956,0.00043568051580670803,8.444102613131205,1
sin,1.0,160,256x256x256,0.027126274468104936,35,1.1768894134295205,0.37742927599197185,69.42440996791173,0.04954394461750568,0.0003390857716913378,0.06707386658869752,0.0003259406037230264,9.373233532905578,1
gelu,1.0,160,256x256x256,0.013840345653556673,35,1.1927349568876495,0.28211488035590093,62.431064327711596,0.02176614147111161,3.7248386747381394e-05,0.05730061729524464,0.00027030313394318077,12.148366582393646,1
tanh,3.0,160,256x256x256,0.12454638170396859,35,1.2299685093248665,0.726204976142521,29.68150723121953,0.038726820689963457,0.0004017087765714744,0.0395119904453444,0.0033150033091098566,8.470946967601776,1
tanh,0.3,160,256x256x256,0.02368406231877156,35,1.2791419823075958,0.32208269473860357,216.986828218474,0.13642027156700914,0.0003531485117336513,0.12364334302388348,6.39963106683992e-05,8.625902318954468,1
sin,0.3,160,256x256x256,0.017281769365915,35,1.298053682850838,0.31430561444341876,164.41787315572816,0.09704303359123695,0.00027224187486286086,0.09029932728581001,5.577720529020166e-05,9.383894336223602,1
silu,0.3,160,256x256x256,0.0088295088651741,35,1.3279626384133314,0.21298240797968765,345.2686080255676,0.1439880069245491,0.00024652361616030183,0.2090182994704799,2.4857831761008345e-05,12.064632217089335,1
gelu,0.3,160,256x256x256,0.00570082313558293,35,1.3321104575942875,0.16342836225193266,312.2604397688574,0.12166227084520606,0.00019876146012618224,0.16033784821233407,2.057769441250012e-05,12.092152365048726,1
