epoch,train_data,wave,gauge,ic,bdry,val_data,best_val,phys_w,bad,epoch_sec,unix_ts
1,5.916074e-01,1.800658e+03,1.002310e+00,2.805948e-04,8.679160e-03,2.638113e-01,2.638113e-01,0.0000,0,160.0,1781806429
2,1.847756e-01,2.357255e+03,8.345086e-01,3.046373e-04,2.345228e-01,1.249006e-01,1.249006e-01,0.0000,0,158.8,1781806588
3,9.724820e-02,1.628412e+03,7.098847e-01,3.021262e-04,2.875206e-01,7.781714e-02,7.781714e-02,0.0000,0,158.7,1781806746
4,6.316587e-02,1.146573e+03,5.806502e-01,3.051036e-04,3.182782e-01,5.026424e-02,5.026424e-02,0.0000,0,158.7,1781806905
5,4.387427e-02,8.362875e+02,4.584453e-01,3.080635e-04,3.245396e-01,3.667625e-02,3.667625e-02,0.0000,0,158.5,1781807064
6,3.304038e-02,7.561432e+02,3.796646e-01,3.273914e-04,3.218854e-01,2.958231e-02,2.958231e-02,0.0000,0,158.7,1781807222
7,2.656276e-02,6.596854e+02,3.169487e-01,3.148690e-04,3.387326e-01,2.290722e-02,2.290722e-02,0.0000,0,159.0,1781807381
8,2.239658e-02,5.639084e+02,2.868898e-01,3.051428e-04,3.120597e-01,2.006042e-02,2.006042e-02,0.0000,0,158.7,1781807540
9,1.924175e-02,5.247171e+02,2.544458e-01,2.949287e-04,3.322778e-01,1.734736e-02,1.734736e-02,0.0000,0,158.7,1781807699
10,1.730511e-02,5.638190e+02,2.319299e-01,3.069025e-04,3.224617e-01,1.632390e-02,1.632390e-02,0.0000,0,158.8,1781807857
11,1.540581e-02,5.200688e+02,2.231729e-01,3.074210e-04,3.279119e-01,1.573896e-02,1.573896e-02,0.0000,0,158.8,1781808016
12,1.415082e-02,4.887943e+02,2.075791e-01,3.002881e-04,3.264366e-01,1.322367e-02,1.322367e-02,0.0000,0,158.8,1781808175
13,1.314192e-02,5.048176e+02,2.168152e-01,3.156646e-04,3.507892e-01,1.340623e-02,1.322367e-02,0.0000,1,159.0,1781808334
14,1.223235e-02,4.978136e+02,1.903647e-01,2.894494e-04,3.320321e-01,1.181754e-02,1.181754e-02,0.0000,0,158.5,1781808493
15,1.151311e-02,4.961866e+02,1.806000e-01,2.963230e-04,3.364136e-01,1.058149e-02,1.058149e-02,0.0000,0,158.6,1781808651
16,1.081881e-02,4.837963e+02,1.787830e-01,2.962025e-04,3.397300e-01,1.055987e-02,1.055987e-02,0.0000,0,158.9,1781808810
17,1.031125e-02,4.808498e+02,1.598775e-01,3.025780e-04,3.218490e-01,9.998555e-03,9.998555e-03,0.0000,0,159.0,1781808969
18,9.927903e-03,4.731013e+02,1.502472e-01,3.009070e-04,3.432869e-01,8.894251e-03,8.894251e-03,0.0000,0,158.7,1781809128
19,9.366270e-03,5.092029e+02,1.542379e-01,2.710728e-04,3.301999e-01,8.551036e-03,8.551036e-03,0.0000,0,158.6,1781809286
20,9.057767e-03,4.835155e+02,1.423275e-01,3.054972e-04,3.366105e-01,8.523806e-03,8.523806e-03,0.0000,0,158.7,1781809445
21,8.797270e-03,4.646949e+02,1.518755e-01,3.037240e-04,3.379412e-01,8.442658e-03,8.442658e-03,0.0000,0,158.8,1781809604
22,8.384022e-03,4.678514e+02,1.401303e-01,3.032050e-04,3.307844e-01,8.260845e-03,8.260845e-03,0.0000,0,158.7,1781809763
23,8.240530e-03,4.480232e+02,1.354021e-01,2.958929e-04,3.356342e-01,8.240180e-03,8.240180e-03,0.0000,0,158.8,1781809921
24,7.904881e-03,4.530849e+02,1.283333e-01,3.063860e-04,3.386298e-01,8.020566e-03,8.020566e-03,0.0000,0,158.7,1781810080
25,7.709879e-03,4.714449e+02,1.294356e-01,3.025392e-04,3.432059e-01,7.130134e-03,7.130134e-03,0.0000,0,158.8,1781810239
26,7.591053e-03,4.505982e+02,1.204359e-01,3.083982e-04,3.385205e-01,7.653015e-03,7.130134e-03,0.0000,1,158.5,1781810397
27,7.285894e-03,4.610747e+02,1.158322e-01,2.997184e-04,3.377006e-01,6.866139e-03,6.866139e-03,0.0000,0,158.6,1781810556
28,7.221048e-03,4.484465e+02,1.093268e-01,3.087736e-04,3.383832e-01,7.389134e-03,6.866139e-03,0.0000,1,158.8,1781810715
29,6.903903e-03,4.471768e+02,1.057241e-01,3.000619e-04,3.438052e-01,6.846131e-03,6.846131e-03,0.0000,0,158.4,1781810873
