epoch,train_data,wave,gauge,ic,bdry,val_data,best_val,phys_w,bad,epoch_sec,unix_ts
1,5.001423e-01,2.380983e+02,4.240272e-01,5.425701e-04,1.696720e-01,1.032365e-01,1.032365e-01,0.0000,0,27.7,1781851693
2,6.013431e-02,1.278432e+02,2.609553e-01,4.434161e-04,1.197079e-01,3.256802e-02,3.256802e-02,0.0000,0,27.4,1781851721
3,2.193398e-02,1.081251e+02,2.374103e-01,3.519234e-04,9.339004e-02,1.544639e-02,1.544639e-02,0.0000,0,27.4,1781851748
4,1.212115e-02,9.776997e+01,2.220184e-01,3.067521e-04,7.590007e-02,9.998352e-03,9.998352e-03,0.0000,0,27.4,1781851776
5,8.285983e-03,8.729432e+01,1.982231e-01,2.828952e-04,6.894814e-02,7.103061e-03,7.103061e-03,0.0000,0,27.4,1781851803
6,6.225368e-03,8.372563e+01,1.862073e-01,3.295396e-04,6.512427e-02,5.553565e-03,5.553565e-03,0.0000,0,27.4,1781851830
7,4.871723e-03,7.953820e+01,1.801051e-01,3.070953e-04,6.180854e-02,4.519187e-03,4.519187e-03,0.0000,0,27.4,1781851858
8,4.147515e-03,7.459299e+01,1.684333e-01,3.104422e-04,6.087195e-02,4.114212e-03,4.114212e-03,0.0000,0,27.4,1781851885
9,3.509878e-03,7.321879e+01,1.655937e-01,3.525249e-04,6.076475e-02,3.581243e-03,3.581243e-03,0.0000,0,27.4,1781851913
10,3.056687e-03,7.164924e+01,1.605647e-01,3.513887e-04,5.823188e-02,3.021619e-03,3.021619e-03,0.0000,0,27.4,1781851940
11,2.734168e-03,6.832980e+01,1.559846e-01,3.256902e-04,5.958314e-02,2.704462e-03,2.704462e-03,0.0000,0,27.4,1781851968
12,2.459060e-03,6.779959e+01,1.520508e-01,3.798826e-04,5.766239e-02,2.331532e-03,2.331532e-03,0.0000,0,27.4,1781851995
13,2.318061e-03,6.629129e+01,1.468584e-01,3.619786e-04,5.583573e-02,2.219843e-03,2.219843e-03,0.0000,0,27.4,1781852022
14,2.132301e-03,6.475422e+01,1.419496e-01,3.643708e-04,5.489067e-02,2.055752e-03,2.055752e-03,0.0000,0,27.4,1781852050
15,1.917652e-03,6.321338e+01,1.422791e-01,3.597411e-04,5.571731e-02,1.997707e-03,1.997707e-03,0.0000,0,27.4,1781852077
16,1.811512e-03,6.224260e+01,1.362305e-01,3.267986e-04,5.356320e-02,1.676283e-03,1.676283e-03,0.0000,0,27.4,1781852105
17,1.766015e-03,6.166368e+01,1.364550e-01,3.399799e-04,5.300317e-02,2.034631e-03,1.676283e-03,0.0000,1,27.4,1781852132
18,1.554647e-03,5.955469e+01,1.357670e-01,3.288884e-04,5.232684e-02,1.507560e-03,1.507560e-03,0.0000,0,27.4,1781852159
19,1.518062e-03,5.894452e+01,1.321687e-01,3.156068e-04,5.133935e-02,1.586997e-03,1.507560e-03,0.0000,1,27.4,1781852187
20,1.438993e-03,5.849525e+01,1.297618e-01,3.095727e-04,5.098858e-02,1.394968e-03,1.394968e-03,0.0000,0,27.4,1781852214
21,1.402154e-03,5.746666e+01,1.269280e-01,3.229636e-04,5.062070e-02,1.384417e-03,1.384417e-03,0.0000,0,27.4,1781852242
